,RIC,Date,returns_monthly
0,0973.HK,2009,0.0
1,0973.HK,2010,46.444960851000005
2,0973.HK,2011,-23.899518701000005
3,0973.HK,2012,51.000107895
4,0973.HK,2013,-34.49873000221707
5,0973.HK,2014,21.722445504000003
6,0973.HK,2015,-20.83248683243602
7,0973.HK,2016,5.113147961000001
8,0973.HK,2017,1.7021988849132619
9,0973.HK,2018,2.7189882260000005
10,0973.HK,2019,29.668648692999998
11,0973.HK,2020,13.890551819999992
12,0973.HK,2021,33.298033284999995
13,1910.HK,2009,0.0
14,1910.HK,2010,0.0
15,1910.HK,2011,3.650168310999998
16,1910.HK,2012,30.735527036999997
17,1910.HK,2013,42.915196478
18,1910.HK,2014,0.30413323199999986
19,1910.HK,2015,4.700249845999999
20,1910.HK,2016,1.593784713999998
21,1910.HK,2017,53.522007695000006
22,1910.HK,2018,-37.730754411
23,1910.HK,2019,-3.6703006029999976
24,1910.HK,2020,5.963399134000035
25,1910.HK,2021,28.652252114
26,1913.HK,2009,0.0
27,1913.HK,2010,0.0
28,1913.HK,2011,-5.270158909999999
29,1913.HK,2012,81.080226125
30,1913.HK,2013,-3.279178458000004
31,1913.HK,2014,-38.965083574000005
32,1913.HK,2015,-53.447134010000006
33,1913.HK,2016,15.191307961
34,1913.HK,2017,15.762071927999994
35,1913.HK,2018,-0.03683067100000148
36,1913.HK,2019,28.3258549
37,1913.HK,2020,58.166610287
38,1913.HK,2021,-11.439571361999999
39,1COV.DE,2009,0.0
40,1COV.DE,2010,0.0
41,1COV.DE,2011,0.0
42,1COV.DE,2012,0.0
43,1COV.DE,2013,0.0
44,1COV.DE,2014,0.0
45,1COV.DE,2015,26.550402638999998
46,1COV.DE,2016,72.838771382
47,1COV.DE,2017,31.690111114000004
48,1COV.DE,2018,-59.82415912
49,1COV.DE,2019,5.246281682000001
50,1COV.DE,2020,30.52048338800001
51,1COV.DE,2021,20.003750722
52,1U1.DE,2009,139.831283773
53,1U1.DE,2010,29.078314936000005
54,1U1.DE,2011,27.948345563000004
55,1U1.DE,2012,58.07525040499999
56,1U1.DE,2013,77.463402355
57,1U1.DE,2014,42.486212157
58,1U1.DE,2015,36.986963865
59,1U1.DE,2016,12.66605791
60,1U1.DE,2017,58.375634745
61,1U1.DE,2018,-35.36066229299999
62,1U1.DE,2019,-58.615921885999995
63,1U1.DE,2020,-5.923806683999997
64,1U1.DE,2021,31.088801331
65,A,2009,79.774024596
66,A,2010,36.058792626
67,A,2011,-10.528980424000002
68,A,2012,20.023732443999997
69,A,2013,36.840628957
70,A,2014,1.550916475000001
71,A,2015,6.572905649000002
72,A,2016,11.928886727999998
73,A,2017,40.954917024000004
74,A,2018,4.090105335999999
75,A,2019,27.933324718999998
76,A,2020,36.719496757
77,A,2021,31.047293548999995
78,A2.MI,2009,25.538973661
79,A2.MI,2010,-26.668850001000003
80,A2.MI,2011,-21.569360082
81,A2.MI,2012,-35.88993431500001
82,A2.MI,2013,80.709900786
83,A2.MI,2014,4.280627497
84,A2.MI,2015,46.348197907
85,A2.MI,2016,4.769923714000004
86,A2.MI,2017,27.452759405000005
87,A2.MI,2018,7.627628417999997
88,A2.MI,2019,11.945400338
89,A2.MI,2020,-9.742818238999991
90,A2.MI,2021,36.915725185
91,A3M.MC,2009,85.96591468899999
92,A3M.MC,2010,7.600361481
93,A3M.MC,2011,-27.823458806999987
94,A3M.MC,2012,0.1516076780000013
95,A3M.MC,2013,127.631851828
96,A3M.MC,2014,3.2408133990000008
97,A3M.MC,2015,-11.309938308000001
98,A3M.MC,2016,17.299856174
99,A3M.MC,2017,-6.152972493000002
100,A3M.MC,2018,-58.138787332999996
101,A3M.MC,2019,-7.570817015999999
102,A3M.MC,2020,0.05148218600000121
103,A3M.MC,2021,27.825908155999976
104,AA,2009,0.0
105,AA,2010,0.0
106,AA,2011,0.0
107,AA,2012,0.0
108,AA,2013,0.0
109,AA,2014,0.0
110,AA,2015,0.0
111,AA,2016,27.721638998999996
112,AA,2017,76.40604785800001
113,AA,2018,-64.663517208
114,AA,2019,-13.941221791999997
115,AA,2020,64.659451958
116,AA,2021,90.526247888
117,AAK.ST,2009,51.16093295
118,AAK.ST,2010,26.341927327
119,AAK.ST,2011,10.196962885999998
120,AAK.ST,2012,35.903191901999996
121,AAK.ST,2013,43.962832424
122,AAK.ST,2014,4.4748144760000015
123,AAK.ST,2015,46.661583077
124,AAK.ST,2016,-0.9691276159999997
125,AAK.ST,2017,18.635092943
126,AAK.ST,2018,7.6715248342027325
127,AAK.ST,2019,41.107289441
128,AAK.ST,2020,-4.141173297000001
129,AAK.ST,2021,15.618413100000003
130,AAL.L,2009,69.124897676
131,AAL.L,2010,28.658998311000005
132,AAL.L,2011,-29.48860651199999
133,AAL.L,2012,-15.941014713000001
134,AAL.L,2013,-28.952128785000003
135,AAL.L,2014,-3.2462984909999957
136,AAL.L,2015,-116.80102717899999
137,AAL.L,2016,170.501746546
138,AAL.L,2017,38.613168908
139,AAL.L,2018,19.673906031
140,AAL.L,2019,30.732219031
141,AAL.L,2020,22.872154521
142,AAL.L,2021,19.579788411999992
143,AAL.O,2009,0.0
144,AAL.O,2010,0.0
145,AAL.O,2011,0.0
146,AAL.O,2012,0.0
147,AAL.O,2013,2.642276423
148,AAL.O,2014,86.062814328
149,AAL.O,2015,-18.224693783000003
150,AAL.O,2016,18.024203845
151,AAL.O,2017,14.526522956
152,AAL.O,2018,-39.742083377
153,AAL.O,2019,-2.535583503999999
154,AAL.O,2020,-35.50649574600001
155,AAL.O,2021,31.787512243000002
156,AALB.AS,2009,96.32488041799999
157,AALB.AS,2010,51.655718828000005
158,AALB.AS,2011,-13.050003209999996
159,AALB.AS,2012,23.583513151
160,AALB.AS,2013,42.56666129600001
